number,identification,species,latitude,longitude,fuste,height,dap,cap,biological,anthropic
25,37899,Pau ferro,-7.13540555555556,-34.84534444444450,1.23000000000000,2.80000000000000,0.04169859509008,0.13100000000000,0,1
26,37858,Pau ferro,-7.13537777777778,-34.84530833333330,0.60000000000000,1.85000000000000,0.03087605895983,0.09700000000000,0,1
27,37900,Pau ferro,-7.13533055555556,-34.84527500000000,0.66000000000000,1.50000000000000,0.01750704374011,0.05500000000000,0,1
28,37897,Pau ferro,-7.13524444444445,-34.84517222222220,1.02000000000000,1.36000000000000,0.01432394487827,0.04500000000000,0,1
29,37898,Pau ferro,-7.13529444444445,-34.84512222222220,0.87000000000000,1.95000000000000,0.03405915782167,0.10700000000000,0,1
30,37859,Pau ferro,-7.13531388888889,-34.84510555555560,0.85000000000000,1.86000000000000,0.02196338214668,0.06900000000000,0,0
31,37860,Pau ferro,-7.13526111111111,-34.84509166666670,1.16000000000000,2.45000000000000,0.03342253804930,0.10500000000000,0,1
32,37894,Pau ferro,-7.13526944444445,-34.84494444444440,1.00000000000000,2.80000000000000,0.04360845440718,0.13700000000000,0,1
33,37857,Pau papagaio,-7.13523333333333,-34.84492500000000,1.14000000000000,3.95000000000000,0.07257465404990,0.22800000000000,0,1
34,37896,Ipê,-7.13533611111111,-34.84467500000000,0.39000000000000,1.50000000000000,0.02323662169142,0.07300000000000,1,0
35,37895,paineira,-7.13457500000000,-34.84488055555560,1.59000000000000,5.36000000000000,0.06811831564333,0.21400000000000,0,0
36,37950,paineira,-7.13443611111111,-34.84498888888890,1.64000000000000,3.21000000000000,0.02514648100852,0.07900000000000,0,0
37,37877,,-7.13441388888889,-34.84504444444450,0.82000000000000,1.12000000000000,0.01209577567498,0.03800000000000,0,0
38,37603,,-7.13437222222222,-34.84512222222220,0.35000000000000,1.30000000000000,0.01400563499209,0.04400000000000,0,0
39,37590,,-7.13433888888889,-34.84513333333330,0.35000000000000,0.71000000000000,0.01018591635788,0.03200000000000,0,0
40,37948,,-7.13427500000000,-34.84515555555560,0.60000000000000,0.74000000000000,0.00954929658551,0.03000000000000,0,0
41,37949,,-7.13415833333333,-34.84517500000000,1.20000000000000,1.62000000000000,0.01050422624407,0.03300000000000,0,0
42,37892,,-7.13393611111111,-34.84527222222220,0.00000000000000,0.28000000000000,0.01909859317103,0.06000000000000,0,2
43,37890,paineira,-7.13390277777778,-34.84525833333330,1.47000000000000,2.50000000000000,0.02641972055325,0.08300000000000,0,0
44,37888,,-7.13383888888889,-34.84520277777780,1.23000000000000,1.90000000000000,0.02546479089470,0.08000000000000,0,0
45,37889,,-7.13369722222222,-34.84507222222220,0.62000000000000,1.00000000000000,0.01018591635788,0.03200000000000,0,0
46,37893,,-7.13383333333333,-34.84506666666670,0.80000000000000,2.90000000000000,0.06302535746439,0.19800000000000,0,0
47,37891,,-7.13387777777778,-34.84510000000000,0.47000000000000,2.85000000000000,0.08116902097687,0.25500000000000,0,0
48,37887,,-7.13393333333333,-34.84510000000000,0.62000000000000,2.85000000000000,0.07480282325319,0.23500000000000,0,0
49,38270,,-7.13422222222222,-34.84515833333330,1.52000000000000,3.45000000000000,0.03119436884601,0.09800000000000,0,0
